339,99	0,908
344,01	0,836
348,00	0,665
352,00	0,378
355,99	0,389
359,99	0,359
364,00	0,409
367,99	0,487
372,00	0,478
375,98	0,000
380,00	0,000
384,03	0,031
388,00	0,000
392,03	0,000
396,00	0,000
400,02	-0,040
403,98	0,000
407,98	0,000
411,99	0,000
415,99	0,000
419,99	0,000
424,01	0,000
428,02	0,011
431,99	0,000
436,01	0,010
439,98	0,009
443,99	0,000
448,00	0,008
452,00	0,015
456,00	0,007
459,99	0,013
463,99	0,000
467,99	0,005
472,00	-0,005
476,01	0,005
480,03	0,000
483,98	0,000
487,99	0,013
492,00	0,004
495,99	0,004
499,98	0,008
504,02	0,008
508,01	0,004
512,00	0,007
516,00	0,011
520,00	0,007
524,00	0,004
528,01	0,004
532,01	0,003
536,01	0,010
540,00	0,007
543,98	0,000
548,02	0,000
551,99	0,044
556,03	0,043
560,01	0,045
564,00	0,047
568,00	0,049
571,99	0,045
575,99	0,044
579,98	0,048
584,02	0,050
587,99	0,052
592,02	0,052
595,98	0,057
600,01	0,086
603,98	0,261
608,01	1,211
611,99	4,605
615,98	12,684
620,02	25,837
624,00	41,008
627,98	55,045
632,00	66,297
636,02	74,307
639,98	79,642
643,99	83,195
648,00	85,447
652,02	86,907
655,99	87,844
660,02	88,470
664,00	88,869
668,03	89,178
671,99	89,369
676,01	89,497
680,01	89,589
684,02	89,651
688,02	89,673
692,02	89,702
696,02	89,729
699,98	89,699
704,00	89,723
708,02	89,692
711,98	89,676
715,99	89,627
720,00	89,631
723,99	89,598
727,98	89,562
732,03	89,534
736,02	89,485
740,01	89,480
744,01	89,456
748,01	89,402
752,02	89,372
756,02	89,329
760,02	89,280
764,02	89,234
768,00	89,212
771,98	89,159
776,01	89,119
779,99	89,079
784,02	89,055
788,00	88,986
791,99	88,958
795,99	88,914
799,98	88,885
804,02	88,852
808,01	88,792
811,98	88,777
816,00	88,747
820,02	88,710
823,98	88,679
828,00	88,645
832,02	88,611
836,00	88,582
840,03	88,556
844,01	88,538
847,98	88,491
852,01	88,464
856,03	88,417
859,98	88,398
863,98	88,383
867,98	88,353
871,99	88,315
875,99	88,301
880,01	88,268
884,03	88,236
887,99	88,203
892,01	88,187
896,02	88,156
900,02	88,136
904,01	88,116
908,00	88,081
911,99	88,068
916,03	88,040
920,02	88,025
924,02	87,992
928,02	87,977
932,02	87,966
936,03	87,948
940,02	87,936
944,01	87,896
947,99	87,877
952,01	87,862
955,98	87,846
960,01	87,829
963,98	87,811
968,02	87,807
972,00	87,801
975,99	87,788
979,98	87,767
984,01	87,755
987,98	87,742
992,02	87,735
996,04	87,723
1000,06	87,728
1003,97	87,716
1007,99	87,692
1012,00	87,701
1016,02	87,702
1020,02	87,697
1024,02	87,682
1028,01	87,674
1032,00	87,674
1035,98	87,666
1039,95	87,654
1044,03	87,665
1048,00	87,660
1051,96	87,647
1056,04	87,669
1060,02	87,661
1063,99	87,655
1067,97	87,649
1071,96	87,655
1075,96	87,655
1079,96	87,648
1083,96	87,649
1087,98	87,654
1091,99	87,656
1096,00	87,643
1100,01	87,667
1104,02	87,651
1108,02	87,669
1112,02	87,680
1116,00	87,665
1119,99	87,671
1123,96	87,687
1128,04	87,683
1132,00	87,684
1135,96	87,691
1140,03	87,708
1143,99	87,703
1147,95	87,720
1152,02	87,712
1155,99	87,714
1159,96	87,713
1164,06	87,728
1168,04	87,731
1172,04	87,731
1176,04	87,756
1180,04	87,760
1184,04	87,765
1188,04	87,771
1192,04	87,789
1196,04	87,791
1200,03	87,806
